Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
LYL1	4066	2	No	No	No	No	No	No	Yes	No	Yes
LYN	4067	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
SH2D1A	4068	3	Yes	No	Yes	Yes	Yes	No	No	No	No
OLIG2	10215	1	No	No	No	No	No	No	No	No	Yes
EPCAM	4072	3	Yes	No	Yes	Yes	Yes	No	No	No	No
LEF1	51176	2	No	No	No	No	No	No	Yes	No	Yes
RPL5	6125	1	No	No	No	No	No	No	No	No	Yes
EP300	2033	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CRBN	51185	2	Yes	No	Yes	No	Yes	No	No	No	No
HIST2H3C	126961	3	Yes	No	No	Yes	Yes	No	No	No	No
EPAS1	2034	4	Yes	No	No	Yes	Yes	No	No	No	Yes
ELL	8178	2	No	No	No	No	No	No	Yes	No	Yes
RPL10	6134	1	No	No	No	No	No	No	No	No	Yes
SMAD2	4087	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMAD3	4088	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SMAD4	4089	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
EPHA3	2042	6	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes
EPHA5	2044	4	Yes	No	No	Yes	Yes	No	Yes	No	No
EPHA7	2045	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes
Other Biomarkers	-2	1	Yes	No	No	No	No	No	No	No	No
MAF	4094	4	Yes	No	Yes	No	No	Yes	Yes	No	Yes
FBXW7	55294	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes
EPHB1	2047	5	Yes	No	No	Yes	Yes	Yes	Yes	No	No
NIN	51199	2	No	No	No	No	No	No	Yes	No	Yes
EPHB4	2050	1	No	No	No	No	No	Yes	No	No	No
RPL22	6146	2	No	No	No	No	No	No	Yes	No	Yes
