id;sent_date;sent_by;mail_type;sent_from
1;2019-12-30T19:50:42;Solutions;PASSWORD_RESET;South Carolina
2;2019-12-29T22:30:42;deposit;LICENSE_REVIEW_RESEARCH_COMMERCIAL;directional Oval
3;2019-12-30T02:29:49;whiteboard Florida;CREATION;web services Handcrafted Frozen Fish
4;2019-12-30T03:11:06;Haven Granite synergistic;APPROVAL;Mouse Bypass Engineer
5;2019-12-30T18:44:40;ivory payment;CLARIFY_ACADEMIC_NON_INSTITUTE_EMAIL;Avon quantifying Tanzania
6;2019-12-30T02:02:09;applications web services Home Loan Account;CLARIFY_ACADEMIC_NON_INSTITUTE_EMAIL;Fish Steel invoice
7;2019-12-30T19:21:56;Rustic Cotton Fish;TEST;Auto Loan Account CSS Dominican Peso
8;2019-12-30T12:28:51;Nauru deposit;TEST;California deliver conglomeration
9;2019-12-30T11:25:44;Delaware Buckinghamshire;PASSWORD_RESET;neural Small
10;2019-12-30T09:29:28;distributed;APPROVAL;Zambian Kwacha vortals deposit
