Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
ABL1	25	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ABL2	27	3	No	No	No	Yes	Yes	No	Yes
ACTB	60	1	No	No	No	No	Yes	No	No
ACTG1	71	2	Yes	No	Yes	No	No	No	No
ACVR1	90	3	Yes	Yes	No	No	No	No	Yes
ACVR1B	91	2	No	No	No	Yes	No	Yes	No
ACVR2A	92	1	No	No	No	No	No	No	Yes
PARP1	142	3	Yes	Yes	Yes	No	No	No	No
AKT1	207	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AKT2	208	6	Yes	Yes	Yes	Yes	Yes	No	Yes
ALDH2	217	1	No	No	No	No	No	No	Yes
ALK	238	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ALOX12B	242	3	Yes	Yes	Yes	No	No	No	No
APC	324	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BIRC3	330	5	Yes	Yes	Yes	No	Yes	No	Yes
XIAP	331	2	Yes	Yes	No	No	No	No	No
FAS	355	5	Yes	No	Yes	Yes	Yes	No	Yes
AR	367	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ARAF	369	5	Yes	Yes	Yes	Yes	Yes	No	No
RHOA	387	5	Yes	Yes	Yes	No	Yes	No	Yes
RHOH	399	2	No	No	No	No	Yes	No	Yes
ARNT	405	2	No	No	No	No	Yes	No	Yes
ZFHX3	463	3	Yes	Yes	No	No	No	No	Yes
ATF1	466	2	No	No	No	No	Yes	No	Yes
ATIC	471	2	No	No	No	No	Yes	No	Yes
ATM	472	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ATP1A1	476	1	No	No	No	No	No	No	Yes
ATP2B3	492	1	No	No	No	No	No	No	Yes
ATP6V1B2	526	2	Yes	No	Yes	No	No	No	No
ATP6AP1	537	2	Yes	No	Yes	No	No	No	No
ATR	545	6	Yes	Yes	Yes	Yes	Yes	No	Yes
ATRX	546	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AXL	558	5	Yes	Yes	Yes	Yes	Yes	No	No
B2M	567	6	Yes	Yes	Yes	No	Yes	Yes	Yes
BARD1	580	5	Yes	Yes	Yes	Yes	Yes	No	No
CCND1	595	6	Yes	Yes	Yes	Yes	Yes	No	Yes
BCL2	596	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BCL2L1	598	3	Yes	Yes	No	Yes	No	No	No
BCL2L2	599	2	No	No	No	Yes	Yes	No	No
BCL3	602	2	No	No	No	No	Yes	No	Yes
BCL5	603	1	No	No	No	No	No	No	Yes
BCL6	604	5	Yes	Yes	Yes	No	Yes	No	Yes
BCL7A	605	2	No	No	No	No	Yes	No	Yes
NBEAP1	606	1	No	No	No	No	Yes	No	No
BCL9	607	2	No	No	No	No	Yes	No	Yes
TNFRSF17	608	2	No	No	No	No	Yes	No	Yes
BCR	613	5	Yes	No	Yes	Yes	Yes	No	Yes
PRDM1	639	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BLM	641	6	Yes	Yes	Yes	Yes	Yes	No	Yes
BMPR1A	657	3	Yes	Yes	No	No	No	No	Yes
FOXL2	668	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BRCA1	672	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BRAF	673	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
